Tools have their own specific decay rates vs blocks and entities. See tool decay rate files for more information.

Item Durability
---------------
Item[145] ÌúÕè: 396800
Item[229] Í­Õè: 198400
Item[230] ÒøÕè: 198400
Item[231] ½ğÕè: 198400
Item[232] ÃØÒøÕè: 3174400
Item[233] °¬µÂÂüÕè: 12697600
Item[254] Ô¶¹Å½ğÊôÕè: 793600
Item[1087] ĞâÌúĞØ¼× (poor): 48
Item[1088] ĞâÌúËøÁ´ĞØ¼× (poor): 24
Item[1089] Í­»¤ÍÈ (average): 56
Item[1090] Òø»¤ÍÈ (average): 56
Item[1091] ÃØÒø»¤ÍÈ (average): 896
Item[1092] °¬µÂÂü»¤ÍÈ (average): 3584
Item[1093] Í­ËøÁ´»¤ÍÈ (average): 28
Item[1094] ÒøËøÁ´»¤ÍÈ (average): 28
Item[1095] ½ğËøÁ´»¤ÍÈ (average): 28
Item[1096] ÃØÒøËøÁ´»¤ÍÈ (average): 448
Item[1097] °¬µÂÂüËøÁ´»¤ÍÈ (average): 1792
Item[1098] ĞâÌú»¤ÍÈ (poor): 42
Item[1099] ĞâÌúËøÁ´»¤ÍÈ (poor): 21
Item[1100] Í­Ñ¥×Ó (average): 32
Item[1101] ÒøÑ¥×Ó (average): 32
Item[1102] ÃØÒøÑ¥×Ó (average): 512
Item[1103] °¬µÂÂüÑ¥×Ó (average): 2048
Item[1104] Í­ËøÁ´Ñ¥×Ó (average): 16
Item[1105] ÒøËøÁ´Ñ¥×Ó (average): 16
Item[1106] ½ğËøÁ´Ñ¥×Ó (average): 16
Item[1107] ÃØÒøËøÁ´Ñ¥×Ó (average): 256
Item[1108] °¬µÂÂüËøÁ´Ñ¥×Ó (average): 1024
Item[1109] ĞâÌúÑ¥×Ó (poor): 24
Item[1110] ĞâÌúËøÁ´Ñ¥×Ó (poor): 12
Item[1175] Í­ÊÖ¸« (average): 1600
Item[1176] ÒøÊÖ¸« (average): 1600
Item[1177] ½ğÊÖ¸« (average): 1600
Item[1178] ÌúÊÖ¸« (average): 3200
Item[1179] ÃØÒøÊÖ¸« (average): 25600
Item[1180] °¬µÂÂüÊÖ¸« (average): 102400
Item[1181] ĞâÌúÊÖ¸« (poor): 1200
Item[1182] ĞâÌú¼ôµ¶ (poor): 2400
Item[1192] µöÓã¸Í (copper): 8
Item[1193] µöÓã¸Í (silver): 8
Item[1194] µöÓã¸Í (gold): 8
Item[1195] µöÓã¸Í (mithril): 128
Item[1196] µöÓã¸Í (adamantium): 512
Item[1197] ÂÜ²·µö¸Í (copper): 25
Item[1198] ÂÜ²·µö¸Í (silver): 25
Item[1199] ÂÜ²·µö¸Í (gold): 25
Item[1200] ÂÜ²·µö¸Í (mithril): 25
Item[1201] ÂÜ²·µö¸Í (adamantium): 25
Item[1202] ºÚê×Ê¯ÇÂ (average): 800
Item[1203] ºÚê×Ê¯Ğ¡µ¶ (average): 800
Item[1204] ºÚê×Ê¯ÊÖ¸« (average): 800
Item[1205] ºÚê×Ê¯¸« (average): 2400
Item[1207] µöÓã¸Í (flint): 3
Item[1208] ÂÜ²·µö¸Í (flint): 25
Item[1212] µöÓã¸Í (obsidian): 4
Item[1213] ÂÜ²·µö¸Í (obsidian): 25
Item[1239] Ô¶¹Å½ğÊô¸ä (average): 19200
Item[1240] Ô¶¹Å½ğÊôÇÂ (average): 6400
Item[1241] Ô¶¹Å½ğÊô¸« (average): 19200
Item[1242] Ô¶¹Å½ğÊô³ú (average): 12800
Item[1243] Ô¶¹Å½ğÊôÕ½´¸ (average): 32000
Item[1244] Ô¶¹Å½ğÊôÑ¼×ì³ú (average): 25600
Item[1245] Ô¶¹Å½ğÊôÕ½¸« (average): 25600
Item[1246] Ô¶¹Å½ğÊôÁ­µ¶ (average): 12800
Item[1247] Ô¶¹Å½ğÊô¼ôµ¶ (average): 12800
Item[1248] Ô¶¹Å½ğÊô½£ (average): 12800
Item[1249] Ô¶¹Å½ğÊô¶Ì½£ (average): 6400
Item[1251] Ô¶¹Å½ğÊô¹­ (average): 64
Item[1252] Ô¶¹Å½ğÊôÍ·¿ø (average): 160
Item[1253] Ô¶¹Å½ğÊôËøÁ´Í·¿ø (average): 80
Item[1254] Ô¶¹Å½ğÊôĞØ¼× (average): 256
Item[1255] Ô¶¹Å½ğÊôËøÁ´ĞØ¼× (average): 128
Item[1256] Ô¶¹Å½ğÊô»¤ÍÈ (average): 224
Item[1257] Ô¶¹Å½ğÊôËøÁ´»¤ÍÈ (average): 112
Item[1258] Ô¶¹Å½ğÊôÑ¥×Ó (average): 128
Item[1259] Ô¶¹Å½ğÊôËøÁ´Ñ¥×Ó (average): 64
Item[1262] Ô¶¹Å½ğÊôÊÖ¸« (average): 6400
Item[1263] µöÓã¸Í (ancient_metal): 32
Item[1264] ÂÜ²·µö¸Í (ancient_metal): 25
